Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Cuál es el objetivo principal del Balance Social en una cooperativa?,multiple,Calcular utilidades anuales,Evaluar el impacto social y la gestión ética de la cooperativa,Estimar el capital de trabajo,Evaluar el impacto social y la gestión ética de la cooperativa
El Balance Social permite principalmente:,multiple,Realizar auditorías tributarias,Rendir cuentas a la sociedad y fomentar la transparencia,Crear campañas publicitarias,Rendir cuentas a la sociedad y fomentar la transparencia
¿Qué normativa respalda la elaboración del Balance Social?,multiple,Código de Comercio,Ley de Sociedades Anónimas,Constitución del Ecuador y la LOEPS,Constitución del Ecuador y la LOEPS
¿Cuál de estos es un beneficio del Balance Social?,multiple,Reducir la participación de socios,Fortalecer la legitimidad institucional,Eliminar responsabilidades del consejo,Fortalecer la legitimidad institucional
El informe del Balance Social debe elaborarse:,multiple,Cuando lo solicite la Superintendencia de Bancos,De forma periódica conforme a la normativa vigente,Solo si hay utilidades,De forma periódica conforme a la normativa vigente
El comité de gestión del Balance Social es responsable únicamente de tareas administrativas.,verdadero_falso,,,,FALSO
¿Cuál de los siguientes órganos tiene atribuciones en el Art. 12 para supervisar la gestión del Balance Social?,multiple,Asamblea General,Consejo de Administración,Junta de Revisión,Consejo de Administración
El responsable del Balance Social dentro de la cooperativa debe:,multiple,Coordinar y ejecutar el proceso técnico de elaboración del balance,Auditar los libros contables,Elaborar informes legales,Coordinar y ejecutar el proceso técnico de elaboración del balance
¿Qué principio del cooperativismo está directamente relacionado con la rendición de cuentas?,multiple,Educación y formación,Responsabilidad social,Interés por la comunidad,Responsabilidad social
¿Cuál de estos documentos sirve de guía para la gestión del Balance Social?,multiple,Reglamento Interno de Trabajo,Manual de metodología del Balance Social,Plan Estratégico Comercial,Manual de metodología del Balance Social
