Pregunta,Tipo,Opción1,Opción2,Opción3,Respuesta
¿Qué principio guía la responsabilidad social cooperativa según la Ley Orgánica de Economía Popular y Solidaria?,multiple,Rentabilidad financiera,Competencia económica,Solidaridad y rendición de cuentas,Solidaridad y rendición de cuentas
Uno de los impactos del compromiso comunitario de la cooperativa es:,multiple,Exclusión de proveedores internacionales,Desvinculación del gobierno,Promoción del comercio justo,Promoción del comercio justo
¿Cuál de los siguientes es un valor corporativo de las cooperativas?,multiple,Rivalidad,Rentabilidad personal,Honestidad,Honestidad
¿Qué se promueve mediante la membresía abierta y voluntaria?,multiple,Discriminación positiva por clase social,Inclusión sin distinción de género  raza o religión,Restricción territorial del socio,Inclusión sin distinción de género  raza o religión
¿Qué función tiene la educación financiera en las cooperativas?,multiple,Recaudar más capital,Reemplazar los servicios contables,Asesorar y mejorar la calidad de vida del socio,Asesorar y mejorar la calidad de vida del socio
La responsabilidad social busca que las operaciones sean sustentables solo en lo económico.,verdadero_falso,,,,FALSO
El aprendizaje cooperativo implica que los miembros confíen y se apoyen mutuamente para lograr metas.,verdadero_falso,,,,VERDADERO
La ética dentro de la cooperativa se basa en valores como igualdad  diálogo y respeto.,verdadero_falso,,,,VERDADERO
Las cooperativas no deben establecer vínculos con gobiernos locales ni con sus comunidades.,verdadero_falso,,,,FALSO
Uno de los beneficios del trabajo en red entre cooperativas es la reducción de costos y aumento de productividad.,verdadero_falso,,,,VERDADERO
